location,name,Alc,latitude,longitude,image,links
경기도,톡쏘는 고구마동동,6%,37.8198465,127.3553975,https://thesool.com/wp-content/uploads/2019/11/우리술_고구마동동.jpg,http://www.woorisool.kr
경기도,톡쏘는 막걸리,6%,37.8198465,127.3553975,https://thesool.com/wp-content/uploads/2017/11/999.jpg,http://www.woorisool.kr
경기도,톡쏘는 알밤동동,6%,37.8198465,127.3553975,https://thesool.com/wp-content/uploads/2019/11/우리술_알밤동동.jpg,http://www.woorisool.kr
경기도,톡쏘는 옥수수동동,6%,37.8198465,127.3553975,https://thesool.com/wp-content/uploads/2019/11/우리술_옥수수동동.jpg,http://www.woorisool.kr
경기도,필,25%,37.3834032,127.6004928,https://thesool.com/wp-content/uploads/2020/02/그림6.png,soolawon.co.kr
경기도,한주,"35%, 45%",36.935881,127.2615574,https://thesool.com/wp-content/uploads/2020/01/한주양조_한주.jpg,http://hanjuy.kr.ecplaza.net
경기도,허니문,8%,37.4912195,127.4875607,https://thesool.com/wp-content/uploads/2020/05/기타_허니문.jpg,
경기도,허니비,8%,37.4912195,127.4875607,https://thesool.com/wp-content/uploads/2020/05/기타_허니비.jpg,
경기도,호담 300ml,20%,37.4564266,127.3243249,https://thesool.com/wp-content/uploads/2019/09/대농바이오_호담300.jpg,http://www.woorisansam.com
경기도,호랑이배꼽,7%,36.9710218,126.8737701,https://thesool.com/wp-content/uploads/2018/10/00_호랑이배꼽.jpg,http://www.tigercalyx.com/
경기도,"화요 41%, 25%, 17%","41%, 25%, 17%",37.1721421,127.5715898,https://thesool.com/wp-content/uploads/2017/12/104.jpg,www.hwayo.com
경상남도,녹파주,15%,35.5664071,127.7754803,https://thesool.com/wp-content/uploads/2019/04/솔송주_녹파주.jpg,http://www.mgwkorea.com
경상남도,담솔,40%,35.5664071,127.7754803,https://thesool.com/wp-content/uploads/2017/11/139.jpg,http://www.mgwkorea.com
경상남도,산내울 오미자주,16%,35.6788409,127.9113489,https://thesool.com/wp-content/uploads/2017/11/001_산내울오미자주.jpg,
경상남도,솔송주,13%,35.5664071,127.7754803,https://thesool.com/wp-content/uploads/2017/11/123.jpg,http://www.mgwkorea.com
경상남도,이화백주,6%,35.4102759,129.0536,https://thesool.com/wp-content/uploads/2019/03/이화백주.jpg,www.ehwaju.com
경상북도,감그린 레귤러,12%,35.6357694,128.6034863,https://thesool.com/wp-content/uploads/2019/02/청도감와인_감와인레귤러.jpg,www.gamwine.com
경상북도,감그린 스페셜,12%,35.6357694,128.6034863,https://thesool.com/wp-content/uploads/2019/02/청도감와인_감와인스페셜.jpg,www.gamwine.com
경상북도,감그린 아이스와인,10%,35.6357694,128.6034863,https://thesool.com/wp-content/uploads/2019/02/청도감와인_감와인아이스.jpg,www.gamwine.com
경상북도,고도리 복숭아와인,6.50%,35.9833282,128.9987632,https://thesool.com/wp-content/uploads/2018/12/고도리_복숭아와인-2.jpg,http://고도리와인.com
경상북도,고도리 청수 와인,10.50%,35.9833282,128.9987632,https://thesool.com/wp-content/uploads/2018/12/고도리와인_청수.jpg,http://고도리와인.com
경상북도,고도리 화이트와인 드라이,10.50%,35.9833282,128.9987632,https://thesool.com/wp-content/uploads/2018/12/고도리와이트와인_드라이.jpg,http://고도리와인.com
경상북도,고도리 화이트와인 스위트,10.50%,35.9833282,128.9987632,https://thesool.com/wp-content/uploads/2019/02/고도리_화이트스위트.jpg,http://고도리와인.com
경상북도,고운달 백자,52%,36.756555,128.0871107,https://thesool.com/wp-content/uploads/2020/01/오미나라_고운달백자.jpg,http://www.omynara.com/
경상북도,고운달 오크,52%,36.756555,128.0871107,https://thesool.com/wp-content/uploads/2020/01/오미나라_고운달오크.jpg,http://www.omynara.com/
경상북도,과하주23,23%,36.127173,128.0195344,https://thesool.com/wp-content/uploads/2018/10/과하주.jpg,gwahaju.modoo.at
경상북도,레드 와인 500,12%,35.9833282,128.9987632,https://thesool.com/wp-content/uploads/2019/01/고도리_레드와인_500.jpg,http://고도리와인.com
경상북도,로얄 안동소주,45%,36.5029267,128.6593139,https://thesool.com/wp-content/uploads/2017/12/122.jpg,http://www.sojumall.com/
경상북도,로제 와인 750,12%,35.9833282,128.9987632,https://thesool.com/wp-content/uploads/2019/01/고도리_로제와인_750.jpg,http://고도리와인.com
경상북도,명인 안동소주 22%,22%,36.603923,128.5411425,https://thesool.com/wp-content/uploads/2020/01/53_명인안동소주22.jpg,www.andongsojumall.co.kr
경상북도,"명인안동소주 35%, 45%","35%, 45%",36.603923,128.5411425,https://thesool.com/wp-content/uploads/2017/12/123.jpg,http://www.adsoju.com
경상북도,문희 탁주,13%,36.772167,128.3140443,https://thesool.com/wp-content/uploads/2017/12/880000082.jpg,https://mgomijasul.modoo.at/
경상북도,미소 생막걸리,7%,36.9629258,129.3954316,https://thesool.com/wp-content/uploads/2018/12/울진술도가_미소생막걸리.jpg,http://www.uljinsuldoga.com/index.php
경상북도,뱅꼬레 레드와인,12%,35.9070103,128.8827281,https://thesool.com/wp-content/uploads/2018/12/뱅꼬레_레드와인.jpg,http://www.vincoree.com
경상북도,뱅꼬레 로제와인,11.50%,35.9070103,128.8827281,https://thesool.com/wp-content/uploads/2018/12/뱅꼬레_로제와인-1.jpg,http://www.vincoree.com
경상북도,뱅꼬레 아이스와인,12%,35.9070103,128.8827281,https://thesool.com/wp-content/uploads/2018/12/뱅꼬레_아이스와인.jpg,http://www.vincoree.com
경상북도,산머루 크라테 스위트,11.50%,35.87577,128.0460138,https://thesool.com/wp-content/uploads/2020/05/산머루-크라테-스위트.jpg,
경상북도,세우리,45%,36.756555,128.0871107,https://thesool.com/wp-content/uploads/2020/01/제주샘주_세우리-1.jpg,http://www.jejusaemju.co.kr
경상북도,소백산 스위트와인,12%,36.9916624,128.575885,https://thesool.com/wp-content/uploads/2020/02/소백산와인.png,
경상북도,스타베리오디,12%,35.9070103,128.8827281,https://thesool.com/wp-content/uploads/2019/02/한국와인_스타베리오디.jpg,http://www.vincoree.com
경상북도,스파클링와인,7.20%,35.9833282,128.9987632,https://thesool.com/wp-content/uploads/2019/01/고도리_스파클링.jpg,http://고도리와인.com
경상북도,스파클링와인 오미로제 결,12%,36.756555,128.0871107,https://thesool.com/wp-content/uploads/2019/09/오미나라_결.jpg,http://www.omynara.com/
