ID,sex,age,freq_alcohol,exp_kta,exp_kta2,reason_non_kta,most_pkta,sat_flavor,sat_sweet,sat_sour,sat_smell,sat_swallow,sat_degree,menu,most_menu,6-4. 위 문항(6번)에서 답한 전통주와 가장 어울리는 날씨는 무엇인가요?,6-5. 위 문항(6번)에서 답한 전통주를 마시게 된 주된 경로는 무엇입니까?,"7. 위 선택지에 제시된 내용을 제외하고 마셔 본 전통주와 관련된 자신만의 추천해주고 싶은 경험(주된 경험, 먹었던 안주, 날씨 등)을 자유롭게 써주세요. (주관식)",pi_kta,8-1. 위 문항의 전통주를 구매하지 않은 주된 이유는 무엇인가요?,9. 다음 항목에서 가장 선호하는 주종은 무엇입니까?,9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [맛],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [당도],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [산도],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [향],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [목넘김],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [도수],9-2. 위 문항(9번)에서 답한 주종과 같이 먹었던 안주는 무엇입니까?(최대 3개),9-3. 위 문항(9번)에서 답한 주종과 같이 먹었던 안주 중에 가장 추천해주고 싶은 안주는 무엇입니까?,9-4. 위 문항(9번)에서 답한 주종과 가장 어울리는 날씨는 무엇인가요?,9-5. 위 문항(9번)에서 답한 주종을 마시게 된 주된 경로는 무엇입니까?,"10. 위 선택지에 제시된 내용을 제외하고 마셔 본 주종과 관련된 자신만의 추천해주고 싶은 경험(주된 경험, 먹었던 안주, 날씨 등)을 자유롭게 써주세요. (주관식)",11. 위 문항(9번)에서 답한 주종을 다음에도 구매할 의사가 있으십니까?
767,1,2,5,1,1,,2,4,4,4,4,4,4,8,11,2,4,"최근에 꿀이들어간 막걸리를 마셨는데 괜찮았습니다.
브랜드 이름은 기억나지 않습니다.",2,,3,4,4,4,4,4,4,1,8,6,4,없음,2
768,1,2,4,2,1,,21,5,5,5,5,5,5,,11,2,3,전통주 전문 안씨네 막걸리 추천,2,,8,5,5,5,5,5,5,6,13,6,3,다희에서 칵테일 저렴하게 ,2
769,1,2,5,1,1,,1,4,4,3,3,3,3,1,11,2,1,,2,,5,3,3,3,4,4,2,14,14,6,1,,2
770,1,4,5,1,1,,10,4,4,4,4,4,4,11,11,6,5,,2,,3,4,4,4,4,4,4,6,6,6,5,,2
771,1,1,5,1,1,,1,4,4,4,4,4,4,11,11,2,3,"막걸리 사이다
막사",2,,3,4,4,4,4,4,4,8,8,6,3,,2
772,2,3,4,1,1,,10,5,5,4,5,5,3,,3,6,4,내행복을찾고싶을때,2,,5,5,5,5,5,5,4,5,2,6,4,나를인정해줄때,2
773,2,3,5,1,1,,10,4,4,3,2,2,3,3,2,2,3,막걸리/ 비오는 날/ 부침개/ 회식이나 친구들 모임,2,,4,4,2,3,5,4,3,2,4,1,3,,2
774,2,3,5,1,1,,8,3,3,3,4,4,4,10,11,6,6,"복순도가, 감홍로주, 이강주 - 감홍로주를 바닐라 아이스크림에 부어먹으면 맛있다!",2,,9,4,3,4,4,4,4,2,3,6,3,,2
775,1,1,4,1,1,,5,3,4,4,4,4,4,,10,6,6,막걸리에 파전같은 국룰 말고도 초콜릿같은 의외로 잘어울리는 안주들도 있다,2,,5,4,4,4,5,5,4,4,7,6,5,"생맥주와 캔,병맥주가 별다른 맛의 차이는 없다지만 한번쯤은 먹어볼 거치거 있다고 생각됩니다. 또한 세가지를 평가하는 항목이 있다면 좋을것 같습니다",2
776,2,4,3,1,1,,1,3,3,3,3,3,3,11,11,3,5,,2,,1,3,3,3,3,3,3,4,4,6,4,,2
777,2,1,5,1,1,,2,4,4,3,4,4,4,11,11,1,3,,2,,5,4,4,2,3,4,3,6,9,99,5,,2
778,1,4,3,1,1,,2,4,3,3,4,5,4,,1,2,5,홍주,2,,1,5,4,4,4,5,4,1,4,6,3,화창한날 오후 좋은친구들과함께,2
779,1,2,5,1,1,,1,4,3,3,4,3,3,11,11,6,1,,2,,2,5,4,4,4,4,4,2,2,3,3,,2
780,1,2,3,1,1,,5,4,4,4,5,5,3,3,3,6,1,,2,,9,5,5,5,5,5,5,2,3,6,2,,2
781,1,1,5,1,1,,3,3,3,3,3,3,3,12,6,2,3,,1,3,4,3,3,3,3,3,3,10,6,6,3,,3
782,2,3,4,1,1,,5,5,4,4,4,4,4,3,3,6,3,"장수막걸리- 보쌈, 순대국,해물파전",2,,1,5,5,5,5,5,5,1,3,6,3,"기네스- 치킨,피자- 맑은날",2
783,2,1,4,1,1,,1,4,4,3,4,3,4,11,11,6,3,,2,,3,4,4,4,4,3,4,8,8,6,2,,2
784,1,1,4,1,1,,6,3,2,5,5,5,3,3,1,2,3,비오는날 막걸리 크...,2,,1,5,5,5,5,5,5,1,4,6,3,대학생인데 시험끝나고 스트레스 풀려고 혼자 방에서 마시는 술이요,2
785,1,1,4,2,1,,10,2,2,2,4,1,1,2,2,2,2,,1,1,5,4,4,4,2,3,3,8,8,6,1,,2
786,1,1,5,1,1,,10,2,3,3,2,3,3,,9,6,2,,3,,1,3,3,3,3,3,3,2,9,6,3,,3
787,2,1,4,1,1,,11,3,4,3,3,3,3,2,11,2,3,,2,,6,3,3,3,3,3,3,1,1,6,3,,2
788,2,2,4,1,1,,2,5,5,5,3,5,5,,11,3,3,비가 오기 전 적당히 습하고 스산한 날씨에 깻잎고기두부전을 막걸리와 함께 먹으면 제 자신이 되게 미식가 같고 유난히 맛있습니다. ,2,,4,5,5,4,3,4,5,1,8,1,2,화요+토닉워터 정말 애정합니다. 하지만 비싸서 자주 못마심 ,2
789,2,3,5,1,1,,1,3,2,3,3,2,3,10,11,2,3,별로안좋아함ㅎ,3,,3,3,3,3,3,3,3,5,9,5,2,가끔 땡겨서 먹는다ㅎㅎ그냥 기분이 좋아짐,2
790,2,1,4,1,1,,10,5,4,4,5,3,3,7,9,3,3,,2,,1,5,2,3,3,4,4,1,4,6,3,,2
791,2,1,4,2,1,,1,4,3,3,4,4,4,,11,2,3,,2,,5,4,4,4,4,4,4,8,8,6,3,,2
792,2,1,4,1,1,,2,5,5,5,5,5,5,10,11,6,3,,2,,1,2,3,3,2,4,5,1,3,6,5,,2
793,2,1,3,1,1,,1,4,4,4,4,4,4,,12,2,3,야외에서먹는게좋아요.,2,,1,3,3,3,3,3,3,2,4,6,4,,2
794,1,3,5,1,1,,3,4,3,3,4,4,3,,11,3,1,날씨 맑은 점심 홍대에서 전통주 마셨을때 기분이 좋았습니다.,2,,3,3,3,3,3,4,3,9,10,6,2,집에서 넷플릭스 보면서 밤에,2
795,1,4,5,1,1,,10,3,3,3,3,3,3,,2,6,1,,2,,3,3,3,3,3,3,3,2,2,6,1,,2
796,2,2,4,1,1,,2,4,4,4,4,3,3,11,11,2,5,밤막걸리를 친구집에서 먹고 맛있어서 사려는데 그당시 잘 안팔아서 1시간거리 친구집 앞 슈퍼가서 사와 열무김치와 먹으니 꿀맛~,2,,2,4,4,4,4,4,4,2,2,6,3,집에서  집들이 한 날 과일소주를 너무 많이 마셔서 취중에 치즈케익 다 만들어주고 결국 나는 잠들어 친구들 가는거 보지도 못했음. 친구들이 치즈케익과 먹었는데 맛있었다고 햇음,2
797,1,5,5,1,1,,2,3,4,4,2,3,3,11,10,4,3,전통주의 네이밍이 중요하다 싶습니다.   어울리면서 스토리가 되는 네이미?,2,,4,3,3,3,3,3,3,3,11,4,3,산행하고서,2
798,1,3,4,1,1,,2,4,4,3,4,5,5,9,11,2,5,전통주를 직접 담가서 파는 주점에 간다면 더 좋은 품질의 전통주를 맛볼수 있어 좋았습니다 ,2,,3,5,5,4,4,4,4,6,6,6,4,,2
799,2,3,5,1,1,,10,4,4,4,3,3,4,10,2,2,1,,2,,3,4,4,4,3,3,3,6,5,6,1,,2
800,2,4,1,1,1,,3,2,2,2,1,3,1,,12,1,5,,1,4,1,3,2,1,2,3,2,4,10,3,1,막걸리엔 감자를 직접갈아 전을한뒤 간장에 청량고추기름장에 찍어먹음 식사대요 끝,2
801,1,1,5,2,2,2,,,,,,,,,,,,,,,3,5,5,5,5,5,5,2,3,1,3,,3
802,2,2,4,1,1,,10,4,4,4,4,4,4,,1,6,3,비오는날 막걸리?,2,,5,4,4,4,4,4,4,2,3,1,3,와인,2
803,1,4,2,1,1,,1,2,2,4,3,2,4,2,1,2,5,과하주,3,,5,4,4,4,3,4,3,3,3,3,3,,3
804,2,4,5,2,1,,1,2,2,2,2,2,2,,1,2,1,,3,,3,5,5,5,5,5,5,1,9,6,1,,2
805,1,1,4,1,1,,4,4,5,4,5,3,1,4,1,1,5,,2,,3,2,4,4,2,5,2,7,8,6,2,친구들과 치즈에 양주먹으면 맛있음,2
806,2,1,4,1,1,,10,5,4,5,4,3,3,4,3,6,5,,2,,6,4,5,5,4,5,3,6,2,1,3,,2
807,1,1,4,1,1,,2,5,5,3,4,5,5,11,12,1,5,햇빛이 쨍쨍한 날...등산하고 샤워한 뒤에 마시는 막걸리와 열무김치의 맛...잊지 못합니다.,2,,3,5,3,3,4,4,5,7,3,6,3,슬러시 맥주와 오징어 순대의 조합 기가 멕힙니다.... 속초에서의 달달했던 한 여름밤이 기억나네요,2
808,1,1,4,2,1,,5,3,2,2,3,5,5,4,5,2,3,다음날 숙취를 피하고 싶으면 도수 센 증류주 추천합니다.,2,,1,3,2,2,3,5,5,4,4,6,3,"1. 매콤한 것과 국물과 곁들이고 싶을때 소주
2. 온도, 습도와 도수는 반비례한다.",2
809,1,1,5,2,2,2,,,,,,,,,,,,,,,4,4,4,3,4,4,2,9,8,6,3,잘 안마셔서 모름,2
810,2,1,4,1,1,,4,5,3,3,4,4,4,4,4,6,3,,2,,3,5,4,4,4,5,4,8,8,6,3,,2
811,1,1,3,1,1,,2,5,5,4,3,4,4,6,6,6,5,,2,,1,2,2,2,2,2,5,3,3,6,1,,2
812,2,1,4,1,1,,1,2,4,2,4,2,3,,11,6,1,비오는날 말고 햇볕 쨍쨍한날에도 막걸리의 탄산때문에 잘 어우러졌던것같아요.,3,,3,4,4,4,4,4,3,,8,6,3,맥주는 마른안주나 튀김이랑 잘 맞는것같아요.,2
813,1,1,4,2,1,,1,4,4,3,4,4,4,2,1,6,3,,2,,3,5,5,5,5,5,5,7,8,5,2,,2
814,1,1,4,1,1,,3,4,4,4,4,4,4,6,11,2,3,,2,,4,4,4,4,4,4,4,7,8,6,3,,2
815,1,2,5,1,2,2,,,,,,,,,,,,,,,5,5,3,3,4,4,3,8,8,1,3,날이 좋아서 한강에서 치맥,2
816,2,1,5,2,1,,12,4,4,4,4,4,4,8,8,6,5,카시스 오렌지는 달아서 술안땡기는 꿀꿀한 날에 어른이가 마시기 좋습니다,2,,2,3,4,4,3,3,3,7,8,6,3,과일 소주는 친구들하고 술게임에 딱입니다 호불호라 머리아프다는 벌칙이 가능하거든요 ㅎㅎ,2
817,1,1,4,1,1,,10,5,5,4,5,5,4,2,2,2,3,막걸리 비오는날,2,,3,4,4,4,4,4,4,2,8,1,3,,2
818,1,1,5,2,1,,1,3,4,3,4,2,3,7,11,2,3,,2,,3,4,3,4,4,5,3,7,8,6,3,,2
819,1,1,1,2,1,,1,4,4,3,4,4,4,,11,2,5,,2,,3,4,4,4,4,4,4,8,8,6,3,,2
820,1,1,5,2,2,2,,,,,,,,,,,,,,,3,3,3,3,3,3,3,6,8,6,3,,3
821,1,1,4,1,1,,2,3,3,3,3,3,3,,11,6,5,,2,,1,3,3,3,3,3,3,,2,6,3,,2
822,1,2,5,1,1,,10,5,5,5,5,5,5,7,7,6,3,,2,,4,5,5,5,5,5,5,7,7,6,2,,2
823,1,1,5,1,1,,1,2,3,3,3,3,3,5,5,2,1,,1,2,3,4,4,2,2,2,2,2,5,1,2,,2
824,1,1,5,2,2,2,,,,,,,,,,,,,,,3,4,4,4,4,4,4,8,1,1,3,,2
825,1,1,3,2,1,,99,4,4,4,4,4,3,,11,6,3,,2,,1,3,2,2,3,3,3,4,2,6,1,,2
826,2,1,4,1,1,,10,3,2,4,4,3,2,10,11,2,3,비오는날 막걸리,2,,1,3,3,3,3,2,2,3,3,6,3,,2
827,1,1,4,1,1,,7,5,5,5,5,5,5,6,2,5,5,,1,2,4,5,5,5,5,5,5,8,8,5,3,,2
828,1,3,1,1,1,,10,3,3,3,4,4,3,10,11,2,3,막걸리 파전,2,,1,5,5,5,4,4,4,3,4,2,2,소주에 삼겹살,2
829,1,1,4,2,1,,1,2,2,2,2,2,2,2,1,2,3,,2,,1,3,3,3,3,3,3,,2,6,3,,2
830,1,1,3,1,1,,10,4,4,3,4,3,1,5,3,6,5,역시 전통주는 엿이나 먹고 먼지가 많은 날에 삽겹살에 소주가 최고지,1,2,1,1,1,1,1,3,3,2,2,3,3,쓰디쓴 인생 삽겹살에 소주 한잔이라면 주말까지 버틸 수 있지,2
831,2,1,3,2,1,,6,3,4,3,4,3,3,,1,4,4,,2,,1,3,4,3,3,3,3,,8,3,3,,2
832,2,1,3,1,1,,3,4,3,3,4,4,3,11,11,2,3,,2,,3,4,3,3,3,4,4,8,7,1,3,,2
833,1,1,4,1,1,,7,4,4,3,4,4,5,,2,1,5,,2,,1,4,4,4,3,3,3,3,4,1,3,,2
834,1,1,5,2,2,1,,,,,,,,,,,,,,,5,3,3,3,3,3,3,8,8,2,5,,1
